description,price,image_url
Gold Blue Kundan Meena Chandbali Earrings, 550,https://img.faballey.com/Images/Product/ZEA00455/1.jpg
Gold Kundan Green Bead Layered Dangler Earrings, 1100,https://img.faballey.com/Images/Product/ZEA00307/1.jpg
Gold Kundan Red Stone Chandbali Earrings, 750,https://img.faballey.com/Images/Product/ZEA00486/1.jpg
Gold Black Round Stone Cuff Bracelet, 1500,https://img.faballey.com/Images/Product/ZBR00061/1.jpg
Gold Kundan Green Drop Jhumka Earrings, 700,https://img.faballey.com/Images/Product/ZEA00300/1.jpg
Silver Crystal Pearl Circular Stud Earrings, 1400,https://img.faballey.com/Images/Product/ZEA00478/1.jpg
Gold Pink Kundan Meena Dangler Earrings, 700,https://img.faballey.com/Images/Product/ZEA00351/1.jpg
Gold Green Floral Chain Dangler Earrings, 1400,https://img.faballey.com/Images/Product/ZEA00465/1.jpg
Mint Green Crystal Bangle Set, 925,https://img.faballey.com/Images/Product/ZBR00077/1.jpg
Silver Falling Drop Oxidized Bangle Set, 1850,https://img.faballey.com/Images/Product/ZBR00055/1.jpg
Gold Multishape Hoop Earrings Set of 3, 1100,https://img.faballey.com/Images/Product/ZEA00338/1.jpg
Gold Kundan Crystal Jhumki Earrings, 2200,https://img.faballey.com/Images/Product/ZEA00349/1.jpg
Gold Dark Blue Kundan Meena Dangler Earrings, 925,https://img.faballey.com/Images/Product/ZEA00350/1.jpg
Gold Red Triangular Tasselled Dangler Earrings, 1850,https://img.faballey.com/Images/Product/ZEA00435/1.jpg
Silver Gold Sleek Hoop Earrings Set of 3, 950,https://img.faballey.com/Images/Product/ZEA00339/1.jpg
Gold Crystal Pearl Circular Stud Earrings, 1900,https://img.faballey.com/Images/Product/ZEA00479/1.jpg
Gold Kundan Red Beads Chandbali Earrings, 1300,https://img.faballey.com/Images/Product/ZEA00470/1.jpg
Gold Red Kundan Beaded Dangler Earrings, 2600,https://img.faballey.com/Images/Product/ZEA00488/1.jpg
Gold Kundan Floral Drop Dangler Earrings, 700,https://img.faballey.com/Images/Product/ZEA00480/1.jpg
Gold Green Kundan Bead Dangler Earrings, 1400,https://img.faballey.com/Images/Product/ZEA00468/1.jpg
Gold Pearl Drop Stud Earrings Set of 3, 650,https://img.faballey.com/Images/Product/ZEA00440/1.jpg
Antique Silver Tribal Hoop Earrings, 1300,https://img.faballey.com/Images/Product/ZEA00295/1.jpg
Gold Silver Hoop Earrings Set of 3, 700,https://img.faballey.com/Images/Product/ZEA00337/1.jpg
Gold Maroon Kundan Floral Beaded Maang Tikka, 1400,https://img.faballey.com/Images/Product/ZMT00039/1.jpg
Gold Chain Half Circle Dangler Earrings, 925,https://img.faballey.com/Images/Product/ZEA00394/1.jpg
Gold Pearl Cluster Drop Dangler Earrings, 1850,https://img.faballey.com/Images/Product/ZEA00437/1.jpg
Gold Green Disc Drop Hammered Dangler Earrings, 450,https://img.faballey.com/Images/Product/ZEA00433/1.jpg
Gold Green Kundan Beaded Bracelet, 900,https://img.faballey.com/Images/Product/ZBR00069/1.jpg
Gold Blue Textured Disc Stud Earrings, 700,https://img.faballey.com/Images/Product/ZEA00275/1.jpg
Blush Pink Crystal Bangle Set, 1400,https://img.faballey.com/Images/Product/ZBR00078/1.jpg
Gold Kundan Crescent Jhumki Earrings, 1100,https://img.faballey.com/Images/Product/ZEA00305/1.jpg
Gold Crystal Double Drop Earrings, 2200,https://img.faballey.com/Images/Product/ZEA00477/1.jpg
Silver Crystal Rectangle Drop Earrings, 725,https://img.faballey.com/Images/Product/ZEA00476/1.jpg
Gold Maroon Kundan Seed Bead Chand Maang Tika, 1450,https://img.faballey.com/Images/Product/ZMT00041/1.jpg
Gold Kundan Floral Stud Pearl Drop Dangler Earrings, 475,https://img.faballey.com/Images/Product/ZEA00482/1.jpg
Gold Textured Contemporary Choker Necklace Set, 950,https://img.faballey.com/Images/Product/ZNS00070/1.jpg
Gold White Crystal Orb Bangle Set, 600,https://img.faballey.com/Images/Product/ZBR00076/1.jpg
Gold Pearl Studded Bangle Set, 1200,https://img.faballey.com/Images/Product/ZBR00074/1.jpg
Gold Kundan Green Beaded Dangler Earrings, 975,https://img.faballey.com/Images/Product/ZEA00484/1.jpg
Gold Red Kundan Drop Bead Dangler Earrings, 1950,https://img.faballey.com/Images/Product/ZEA00431/1.jpg
Gold Blue Enamel Jhumka Earrings, 700,https://img.faballey.com/Images/Product/ZEA00443/1.jpg
Gold Kundan Green Beads Chandbali Earrings, 1400,https://img.faballey.com/Images/Product/ZEA00469/1.jpg
Gold Crystal Bangle Set of 4, 650,https://img.faballey.com/Images/Product/ZBR00079/1.jpg
Gold Crystal Studded Bangle Set, 1300,https://img.faballey.com/Images/Product/ZBR00075/1.jpg
Gold Green Enamel Kundan Jhumka Earrings, 700,https://img.faballey.com/Images/Product/ZEA00449/1.jpg
Gold Black Drop Tiered Dangler Earrings, 1400,https://img.faballey.com/Images/Product/ZEA00436/1.jpg
Gold Red Enamel Pearl Stud Earrings, 650,https://img.faballey.com/Images/Product/ZEA00451/1.jpg
Gold D-Shaped Pearl Closure Hoop Earrings, 1300,https://img.faballey.com/Images/Product/ZEA00400/1.jpg
